,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
24,2023-07-18,257.3395517292036,240.90247551184967,282.286256913,257.3395517292036,257.3395517292036,4.548430922936459,4.548430922936459,4.548430922936459,4.548430922936459,4.548430922936459,4.548430922936459,0.0,0.0,0.0,261.88798265214007
25,2023-07-19,257.13971384871934,241.27127791468288,280.3209832139504,257.13971384871934,257.13971384871934,3.9585678494631487,3.9585678494631487,3.9585678494631487,3.9585678494631487,3.9585678494631487,3.9585678494631487,0.0,0.0,0.0,261.09828169818246
26,2023-07-20,256.93987596823507,240.97854603293683,278.4481600710663,256.93987596823507,256.93987596823507,2.5159454649716175,2.5159454649716175,2.5159454649716175,2.5159454649716175,2.5159454649716175,2.5159454649716175,0.0,0.0,0.0,259.45582143320667
27,2023-07-21,256.74003808775086,238.48679792322386,278.29528464919264,256.74003808775086,256.74003808775086,1.8219639987970608,1.8219639987970608,1.8219639987970608,1.8219639987970608,1.8219639987970608,1.8219639987970608,0.0,0.0,0.0,258.5620020865479
28,2023-07-24,256.14052444629806,240.26870699662,277.8607652914553,256.14052444629806,256.14052444629806,2.0757052377810306,2.0757052377810306,2.0757052377810306,2.0757052377810306,2.0757052377810306,2.0757052377810306,0.0,0.0,0.0,258.2162296840791
29,2023-07-25,255.94068656581382,239.0335174557803,280.94590724307653,255.94068656581382,255.94068656581382,4.548430922934674,4.548430922934674,4.548430922934674,4.548430922934674,4.548430922934674,4.548430922934674,0.0,0.0,0.0,260.4891174887485
30,2023-07-26,255.74084868532955,240.18871540446514,277.7781625566936,255.74084868532955,255.74084868532955,3.9585678494609993,3.9585678494609993,3.9585678494609993,3.9585678494609993,3.9585678494609993,3.9585678494609993,0.0,0.0,0.0,259.69941653479054
31,2023-07-27,255.54101080484529,237.7283452026669,278.7501945432262,255.54101080484529,255.54101080484529,2.5159454649709656,2.5159454649709656,2.5159454649709656,2.5159454649709656,2.5159454649709656,2.5159454649709656,0.0,0.0,0.0,258.0569562698162
32,2023-07-28,255.34117292436105,236.804419637597,276.73810977021697,255.34117292436105,255.34117292436105,1.8219639987911787,1.8219639987911787,1.8219639987911787,1.8219639987911787,1.8219639987911787,1.8219639987911787,0.0,0.0,0.0,257.16313692315225
33,2023-07-31,254.74165928589176,236.9701193140621,275.66421043636655,254.74165928589176,254.74165928589176,2.0757052377887435,2.0757052377887435,2.0757052377887435,2.0757052377887435,2.0757052377887435,2.0757052377887435,0.0,0.0,0.0,256.8173645236805
34,2023-08-01,254.541821406402,240.06893454917227,278.9833316304098,254.541821406402,254.541821406402,4.548430922937185,4.548430922937185,4.548430922937185,4.548430922937185,4.548430922937185,4.548430922937185,0.0,0.0,0.0,259.0902523293392
35,2023-08-02,254.34198352691223,238.3910905668662,277.65797326803835,254.34198352691223,254.34198352691223,3.9585678494616903,3.9585678494616903,3.9585678494616903,3.9585678494616903,3.9585678494616903,3.9585678494616903,0.0,0.0,0.0,258.3005513763739
36,2023-08-03,254.14214564742247,236.92374894299363,275.8681078227988,254.14214564742247,254.14214564742247,2.515945464973786,2.515945464973786,2.515945464973786,2.515945464973786,2.515945464973786,2.515945464973786,0.0,0.0,0.0,256.6580911123963
37,2023-08-04,253.94230776793273,235.69289389480824,276.15847062775316,253.94230776793273,253.94230776793273,1.8219639988119907,1.8219639988119907,1.8219639988119907,1.8219639988119907,1.8219639988119907,1.8219639988119907,0.0,0.0,0.0,255.7642717667447
38,2023-08-07,253.34279412946344,235.2691203982028,275.2028661174124,253.34279412946344,253.34279412946344,2.0757052377901353,2.0757052377901353,2.0757052377901353,2.0757052377901353,2.0757052377901353,2.0757052377901353,0.0,0.0,0.0,255.4184993672536
39,2023-08-08,253.14295624997365,238.1918568965783,277.7689361815509,253.14295624997365,253.14295624997365,4.548430922935402,4.548430922935402,4.548430922935402,4.548430922935402,4.548430922935402,4.548430922935402,0.0,0.0,0.0,257.69138717290906
40,2023-08-09,252.94311837048392,237.27370536075875,275.9616438845334,252.94311837048392,252.94311837048392,3.958567849465339,3.958567849465339,3.958567849465339,3.958567849465339,3.958567849465339,3.958567849465339,0.0,0.0,0.0,256.9016862199492
41,2023-08-10,252.74328049315028,234.87103837959674,275.17227039115426,252.74328049315028,252.74328049315028,2.5159454649731336,2.5159454649731336,2.5159454649731336,2.5159454649731336,2.5159454649731336,2.5159454649731336,0.0,0.0,0.0,255.2592259581234
42,2023-08-11,252.54344261581664,233.5203446371778,274.6310313664973,252.54344261581664,252.54344261581664,1.821963998806108,1.821963998806108,1.821963998806108,1.821963998806108,1.821963998806108,1.821963998806108,0.0,0.0,0.0,254.36540661462274
